#{"t_start": 1760874101.67724, "env_id": "None"}
r,l,t
4.815188,157,68.139516
7.79377,218,68.220442
8.303903,224,68.303975
7.896446,220,68.386215
4.566037,144,68.440633
8.096613,213,69.305823
-0.321988,36,69.321086
-0.445824,43,69.338883
-0.345917,42,69.35692
5.56299,166,69.418458
8.031832,236,69.506483
4.736608,158,69.56475
-0.695939,29,69.57675
8.142704,232,69.661794
-0.46403,33,69.674945
8.566689,226,69.760638
8.496138,229,69.849841
8.217986,234,69.936038
8.181927,220,70.022275
7.782057,238,70.899159
-0.114096,41,70.916902
7.781436,229,71.012493
7.964231,224,71.097939
7.893645,222,71.179919
7.641853,236,71.266013
0.379628,52,71.28628
7.456629,221,71.368716
-0.266747,37,71.383065
-0.483347,32,71.395537
8.072868,214,71.474379
7.231342,234,71.564578
8.194747,230,72.439745
8.564914,239,72.527237
5.287846,153,72.585767
8.408136,226,72.672848
7.330289,224,72.756939
7.706681,208,72.835544
8.411269,245,72.933952
7.506356,242,73.028983
7.242038,230,73.121751
7.771559,216,74.063432
8.434957,234,74.157514
4.585281,138,74.216157
8.204344,215,74.305609
5.05835,138,74.364138
5.676383,175,74.437206
8.053312,212,74.518795
-0.178475,39,74.537244
8.523658,223,74.623932
7.743215,211,74.706084
7.616955,216,74.789301
7.996695,226,75.707286
4.771222,134,75.759191
7.251352,233,75.849894
7.681052,219,75.930723
7.667657,228,76.015069
7.499695,220,76.094901
8.249054,220,76.176492
7.621364,221,76.257891
5.090692,146,76.311572
7.989114,224,76.394492
7.852102,221,77.283976
3.678226,127,77.330575
1.837237,66,77.358137
7.630235,216,77.437889
5.359656,158,77.498308
4.353918,123,77.547997
7.666977,215,77.631319
7.610531,211,77.714797
7.491693,214,77.799843
7.759406,221,77.880706
4.57965,132,77.929835
7.902626,228,78.013592
7.991772,218,78.898009
0.997216,47,78.9165
5.475691,156,78.978439
0.853529,49,78.997202
7.288335,195,79.070556
7.838985,222,79.152097
4.052193,128,79.198239
8.10536,216,79.274932
4.738833,139,79.328567
8.181542,222,79.413665
7.900963,213,79.499534
7.938727,230,79.5902
8.368527,221,80.538324
8.0115,208,80.615515
7.676262,221,80.697812
8.132975,208,80.774049
7.916481,212,80.856868
5.178337,152,80.917062
7.983288,211,80.99858
8.273346,221,81.086496
5.043804,141,81.14424
7.744816,205,81.22349
8.25525,216,82.083684
1.168129,55,82.10653
9.118286,231,82.191253
8.601954,221,82.273116
5.997903,175,82.341238
8.941867,218,82.422585
1.040471,48,82.441776
8.303816,221,82.523123
9.017459,219,82.603665
5.978645,162,82.664901
7.766659,222,82.747615
7.869784,231,83.664805
1.517142,58,83.687416
8.65018,230,83.773594
5.522488,151,83.830504
0.051419,45,83.848433
9.259139,220,83.9315
7.087473,160,83.994668
6.808705,155,84.054112
9.567282,233,84.14132
9.2453,217,84.221215
6.408223,142,84.276606
5.151329,138,84.331821
9.361787,219,84.417693
6.120457,161,85.317873
9.648103,228,85.40328
4.579844,126,85.451256
7.285603,167,85.512878
6.693098,155,85.571935
9.664477,222,85.655279
-0.646445,29,85.668045
4.553215,158,85.730504
4.772083,140,85.78356
9.575527,227,85.866782
5.576255,150,85.924547
10.062404,243,86.017614
9.68666,244,86.89953
6.895262,162,86.958767
8.985466,236,87.047013
5.53657,151,87.103948
9.255844,225,87.18912
9.624642,228,87.27127
9.871942,232,87.35721
10.02801,238,87.444606
9.628598,230,87.529898
4.956121,142,87.585874
9.325739,230,88.504148
1.274534,58,88.527968
4.512282,140,88.581367
9.744617,229,88.667535
0.709192,42,88.684829
9.545567,224,88.766336
9.644599,241,88.856204
10.01745,241,88.952219
9.489532,241,89.061642
0.990766,48,89.081737
8.324694,213,89.170571
9.82927,236,90.058561
-0.755378,31,90.071989
-0.703886,29,90.084581
8.766265,219,90.172819
9.44113,228,90.267784
7.887642,218,90.351284
9.462128,242,90.447959
9.395717,225,90.556618
9.585183,249,90.646598
4.171941,121,90.691537
9.554181,233,90.776175
9.594562,248,91.744048
6.687244,151,91.799177
3.959388,114,91.843472
6.530141,147,91.898243
8.869313,224,91.982673
9.304604,226,92.065604
9.671759,227,92.148425
6.33426,137,92.200531
9.562155,226,92.28227
-0.448571,35,92.297354
5.515585,150,92.355989
9.085312,220,92.439686
6.377107,148,93.290701
3.7197,109,93.33111
9.258251,214,93.412
8.632608,203,93.489877
6.451705,144,93.544883
8.76708,212,93.626082
5.595935,151,93.684182
5.072296,141,93.738444
6.330729,140,93.791766
0.010504,43,93.809931
9.021875,210,93.890033
7.597301,211,93.965878
7.764544,267,94.947661
9.131963,229,95.032645
9.608647,245,95.125756
7.771994,223,95.210335
9.296772,221,95.292246
-0.585848,34,95.306297
9.638555,229,95.396431
8.99681,227,95.483154
6.271066,145,95.538838
9.983219,243,95.62817
9.333945,233,95.714519
8.981551,228,96.642873
5.263726,147,96.697721
8.621258,211,96.776381
8.764411,230,96.863646
9.154162,228,96.951284
9.032214,221,97.035129
9.215771,239,97.126068
4.49868,124,97.175985
7.940698,209,97.256851
6.511863,149,97.314522
9.36234,237,98.307902
7.034991,230,98.396879
8.162436,215,98.478688
8.713395,212,98.559574
4.556872,128,98.612376
9.103243,226,98.699153
-0.537489,31,98.711815
9.338245,253,98.808866
7.904424,215,98.8924
5.665656,160,98.954855
9.509999,230,99.870494
9.289754,239,99.96206
-0.810372,25,99.973038
9.618296,292,100.07876
9.393247,239,100.170896
8.752392,232,100.258493
8.153184,254,100.353855
8.717851,301,100.46876
8.015689,210,100.547298
8.191175,273,101.530262
-0.554792,31,101.543316
4.6615,133,101.598083
7.590017,203,101.677737
