#{"t_start": 1760784164.8878198, "env_id": "None"}
r,l,t
-0.9,1,37.33863
-0.9,1,37.380853
-0.9,1,37.456671
-0.9,1,37.499703
0.3,2,37.576353
-0.9,1,37.619305
-0.9,1,37.693321
-0.9,1,37.737985
-0.9,1,37.815001
-0.9,1,37.860366
0.292191,2,37.940828
-0.9,1,37.988052
-0.9,1,38.066219
-0.9,1,38.112536
-0.9,1,38.195236
0.3,2,38.246343
-0.9,1,38.324812
-0.9,1,38.369238
-0.9,1,38.442671
-0.9,1,38.488218
-0.9,1,38.563515
0.3,2,38.609743
-0.9,1,38.685738
-0.9,1,38.732033
-0.9,1,38.810774
-0.9,1,38.858639
-0.9,1,38.937151
0.3,2,38.984821
-0.9,1,39.060871
-0.9,1,39.103677
-0.9,1,39.179219
-0.9,1,39.224631
-0.9,1,39.301898
-0.9,1,39.346082
-0.9,1,39.427319
-0.9,1,39.473773
-0.9,1,39.554201
-0.9,1,39.600866
-0.9,1,39.681482
-0.9,1,39.729489
0.3,2,39.812904
-0.9,1,39.860595
-0.9,1,39.942883
-0.9,1,39.992068
-0.9,1,40.069757
-0.9,1,40.114387
0.3,2,40.191071
-0.9,1,40.237704
-0.9,1,40.317016
-0.9,1,40.361912
-0.9,1,40.43722
-0.9,1,40.485009
0.276075,2,40.561201
-0.9,1,40.606559
-0.9,1,40.688579
-0.9,1,40.735101
-0.9,1,40.811101
-0.9,1,40.855436
-0.9,1,40.932147
-0.9,1,40.978407
-0.9,1,41.056107
-0.9,1,41.101798
-0.9,1,41.179846
-0.9,1,41.228095
-0.9,1,41.30787
-0.9,1,41.353063
-0.9,1,41.426998
-0.9,1,41.473727
-0.9,1,41.551309
-0.9,1,41.594978
-0.9,1,41.673769
-0.9,1,41.721076
-0.9,1,41.796638
-0.9,1,41.843993
-0.9,1,41.923779
-0.9,1,41.973602
-0.9,1,42.0528
-0.9,1,42.096578
-0.9,1,42.177808
-0.9,1,42.227388
-0.9,1,42.329163
-0.9,1,42.381954
-0.9,1,42.45997
-0.9,1,42.507448
-0.9,1,42.585947
-0.9,1,42.631654
-0.9,1,42.713983
-0.9,1,42.762251
0.3,2,42.843995
-0.9,1,42.89378
-0.9,1,42.97666
-0.9,1,43.02745
-0.9,1,43.111935
-0.9,1,43.163657
-0.9,1,43.250892
-0.9,1,43.303728
-0.9,1,43.388669
-0.9,1,43.437565
-0.9,1,43.524125
-0.9,1,43.574871
-0.9,1,43.657647
-0.9,1,43.706083
-0.9,1,43.788068
-0.9,1,43.836866
-0.9,1,43.918389
-0.9,1,43.963855
-0.9,1,44.042461
-0.9,1,44.092855
-0.9,1,44.178115
-0.9,1,44.229
-0.9,1,44.315154
-0.9,1,44.365921
