#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
68.391886,74,12.780098
67.35,73,12.805951
200.2,200,12.872184
27.391886,33,12.88465
105.35,111,12.924082
145.838197,147,12.973606
163.488197,165,13.55978
90.838197,92,13.590827
204.1,200,13.657666
200.2,200,13.72402
74.35,80,13.75111
34.35,40,13.765152
210.6,200,13.831952
200.2,200,14.405668
210.1,200,14.471497
9.35,15,14.476918
200.2,200,14.5419
204.8,200,14.607739
200.2,200,14.675502
200.45,200,15.264774
200.2,200,15.330233
200.2,200,15.39481
51.35,57,15.414301
200.2,200,15.479365
45.391886,51,15.497671
66.35,72,15.522738
200.2,200,16.149965
200.2,200,16.217311
23.391886,29,16.227894
200.010534,200,16.294112
201.3,200,16.360631
37.35,43,16.37544
198.915159,200,16.439901
200.2,200,17.016771
200.2,200,17.084083
208.7,200,17.152261
200.2,200,17.218493
200.2,200,17.284038
200.510747,200,17.860488
200.2,200,17.925842
200.2,200,17.990912
200.2,200,18.056139
143.35,149,18.105357
107.2893,113,18.143532
200.2,200,18.722898
125.391886,131,18.770689
200.351317,200,18.836392
200.2,200,18.905902
80.391886,86,18.938773
54.391886,60,18.959986
200.2,200,19.609915
200.2,200,19.676846
200.2,200,19.744952
200.2,200,19.813646
81.391886,87,19.843733
200.2,200,19.910492
119.35,125,19.953708
200.2,200,20.534313
188.35,194,20.59949
37.391886,43,20.614457
200.2,200,20.681095
200.2,200,20.748149
200.2,200,21.305651
200.2,200,21.373087
200.2,200,21.439403
169.094566,175,21.49855
167.35,173,21.557698
200.2,200,21.623071
200.2,200,22.211312
200.2,200,22.278147
200.2,200,22.347364
200.2,200,22.41622
200.2,200,22.483818
200.2,200,23.090646
200.2,200,23.156798
200.2,200,23.223116
200.2,200,23.289075
200.2,200,23.355895
200.2,200,24.012476
200.2,200,24.079353
200.2,200,24.146069
200.2,200,24.212522
200.2,200,24.279259
200.2,200,24.913538
200.2,200,24.981065
200.2,200,25.047062
200.2,200,25.114076
215.35,200,25.181555
200.2,200,25.792928
200.2,200,25.861646
200.2,200,25.928689
200.2,200,25.996493
200.2,200,26.063883
200.2,200,26.615409
33.35,39,26.628803
200.2,200,26.695
200.2,200,26.761307
200.2,200,26.826057
200.2,200,26.893396
