#{"t_start": 1760777453.242622, "env_id": "None"}
r,l,t
12.499477,16,26.174344
-2.65,3,26.1814
-0.472383,5,26.194518
-3.608114,2,26.200167
10.788197,16,26.23716
9.679289,14,26.267999
29.629289,32,26.334404
0.838197,6,26.347448
8.329289,13,26.379158
1.738197,7,26.394918
0.391886,6,26.408651
23.693203,29,26.473911
-2.65,3,26.482867
9.391886,15,26.515985
-3.608114,2,26.520954
1.391886,7,26.538425
-2.461803,3,26.546931
-3.608114,2,26.551764
19.743659,25,26.604964
0.129289,5,26.615145
2.35,8,26.633909
23.391886,29,26.698868
-2.65,3,26.706896
0.519503,6,26.72175
11.6,15,26.756242
12.743203,18,26.795262
47.85,51,26.904723
-0.261803,5,26.91669
13.55,17,26.956578
3.759431,9,26.977692
9.709431,15,27.011542
-1.65,4,27.021664
9.35,15,27.060299
36.6,40,27.150418
1.129289,6,27.16415
3.503275,9,27.184832
0.391886,6,27.201064
13.9,18,27.242539
3.589055,9,27.263106
3.640963,9,27.285844
7.621969,13,27.318858
-2.65,3,27.325656
17.121117,19,27.369746
11.725336,14,27.400975
-0.65,5,27.414232
7.345458,10,27.435484
2.8,6,27.448008
24.165711,29,27.510131
22.167544,26,27.577335
3.279289,8,27.599421
5.676393,9,27.62378
18.475461,24,27.687955
15.597627,21,27.747072
-2.608114,3,27.75546
3.329289,8,27.774926
7.580408,13,27.808779
13.079289,17,27.851046
-3.608114,2,27.855503
-1.261803,4,27.864375
0.029289,5,27.876269
-1.65,4,27.887177
3.9,9,27.906988
16.709431,22,27.956793
3.329289,8,27.973258
14.511389,20,28.016616
0.391886,6,28.02904
7.735089,13,28.060086
14.413861,17,28.101473
43.638197,46,28.200015
22.6,26,28.252985
21.27381,27,28.308515
-1.070711,4,28.317191
27.471194,32,28.389769
20.041886,25,28.44352
17.440812,21,28.48952
11.738197,16,28.521806
6.853275,12,28.546673
4.621969,10,28.567317
0.527617,6,28.579544
6.35,12,28.628798
10.35,16,28.670257
30.047689,34,28.741287
0.391886,6,28.753542
14.229289,18,28.79183
-2.65,3,28.800035
15.430808,19,28.837404
14.074272,20,28.878147
11.8,14,28.907114
8.589513,14,28.937644
2.85,8,28.954866
-0.608114,5,28.96631
43.929085,45,29.058242
1.738197,7,29.075113
17.16915,23,29.123434
-2.608114,3,29.129664
4.329289,9,29.148702
-0.361803,5,29.162155
5.35,11,29.186493
5.1,8,29.20366
-3.608114,2,29.208606
-2.608114,3,29.218957
0.688197,6,29.235733
1.888197,7,29.252691
8.226393,12,29.287064
4.573286,10,29.322477
-2.65,3,29.330678
-3.608114,2,29.337522
1.35,7,29.357557
-2.65,3,29.370921
-0.608114,5,29.388585
24.0,28,29.46265
3.35,9,29.486762
-0.608114,5,29.502774
0.129289,5,29.515544
11.391886,17,29.560207
7.504759,13,29.595196
2.731796,8,29.614785
9.930914,13,29.645103
-2.461803,3,29.65294
-3.608114,2,29.657689
2.35,8,29.678257
2.788197,8,29.696334
10.838197,16,29.73059
-2.65,3,29.737236
6.391886,12,29.764752
14.454592,20,29.807781
37.030148,39,29.890239
7.030206,12,29.914742
3.35,9,29.936293
-2.65,3,29.942362
-0.608114,5,29.952707
11.979289,16,29.987258
3.988197,9,30.013057
-0.608114,5,30.026275
-0.361803,5,30.039481
-3.608114,2,30.044806
-2.608114,3,30.054982
6.988197,12,30.087832
27.650165,33,30.162499
10.391886,16,30.198778
18.276393,21,30.248281
-0.261803,5,30.260638
-2.65,3,30.268333
-2.65,3,30.276646
-1.608114,4,30.289913
-3.608114,2,30.295423
24.631136,29,30.36182
-2.461803,3,30.369082
-2.461803,3,30.377376
5.229289,10,30.398361
8.038197,13,30.424886
-2.461803,3,30.431828
-0.378031,5,30.444178
2.391886,8,30.461163
-3.608114,2,30.465123
12.929289,17,30.503062
11.038197,16,30.538412
27.925736,29,30.599556
3.767544,9,30.622062
22.338197,26,30.681581
9.982596,13,30.714488
15.3,20,30.758796
-0.608114,5,30.769243
-2.461803,3,30.77585
8.138197,13,30.810147
-2.461803,3,30.818825
8.988197,14,30.857218
5.35,11,30.889091
10.532716,16,30.940764
11.562536,17,30.994132
16.138197,20,31.050287
8.529289,13,31.085109
-0.608114,5,31.101022
-3.608114,2,31.10633
14.088197,19,31.154206
16.5,21,31.202568
0.391886,6,31.216288
4.682803,10,31.23752
-0.608114,5,31.248128
-3.608114,2,31.25274
3.391886,9,31.273638
6.988197,12,31.297031
